Symbol,PE,ForwardPE,PB,EV_EBITDA,MarketCap
MMM,27.043062,21.463291,19.46281,15.925,90312687616.0
AOS,17.277628,15.749385,4.8388314,11.443,8982305792.0
ABT,15.978643,24.649225,4.3405113,19.3,221368991744.0
ABBV,172.5639,18.920856,-153.51839,15.883,405632417792.0
ACN,20.03454,17.314854,4.856374,12.176,151739367424.0
ATVI,,,,,
AYI,28.326954,19.37916,3.976002,15.91,10885657600.0
ADBE,19.883343,15.509976,11.373466,14.805,135205273600.0
AAP,,18.933084,1.3921767,25.945,3056932864.0
AMD,112.59163,42.166668,5.7592397,57.274,350110351360.0
AES,9.131579,6.8374386,2.5575824,14.562,9884238848.0
AET,,,,,
AMG,15.7434225,11.215595,2.2281005,16.987,7478907904.0
AFL,14.504599,15.3947,2.022723,11.771,59034697728.0
A,33.53712,27.18584,6.838216,24.812,43632345088.0
APD,,18.107267,3.8011286,101.115,57112199168.0
AKAM,25.906157,13.22455,2.683964,14.332,12709054464.0
ALK,33.28099,7.4574075,1.151756,6.639,4670861824.0
ALB,,62.97826,1.7572751,25.8,13638790144.0
ARE,,14.889535,0.5243492,13.635,8852099072.0
ALXN,,,,,
ALGN,27.835274,13.999025,2.6145923,11.62,10411216896.0
ALLE,21.990513,20.833118,7.1724043,16.555,13962125312.0
AGN,,,,,
ADS,,,,,
LNT,21.512579,21.179567,2.4065998,15.417,17585043456.0
ALL,6.8861866,11.159747,2.1816444,5.561,55960625152.0
GOOGL,31.44916,35.5558,9.945368,26.107,3858679726080.0
GOOG,31.438301,35.58324,9.941935,26.097,3844516872192.0
MO,10.940841,10.715888,-36.376904,9.4,96308150272.0
AMZN,31.960453,36.793495,6.542342,17.79,2418981994496.0
AEE,20.151924,21.29878,2.2179656,13.701,28345161728.0
AAL,15.057471,6.485149,-2.182606,8.091,8647133184.0
AEP,17.868229,20.719864,2.1490078,12.905,65323814912.0
AXP,23.920027,23.540344,7.5650916,,247685365760.0
AIG,13.508993,11.193741,0.99541456,4.666,41611227136.0
AMT,28.639555,26.446245,21.273546,19.907,84065091584.0
AWK,23.112476,23.07193,2.352678,14.775,25660698624.0
AMP,12.270977,11.546724,6.4353004,,42049830912.0
ABC,,,,,
AME,30.791798,26.742466,4.269157,20.841,45086830592.0
AMGN,25.834621,16.173197,18.71466,13.662,180014071808.0
APH,45.807312,63.833332,13.475371,28.541,168772780032.0
APC,,,,,
ADI,60.916027,31.750662,3.4552433,26.472,117774123008.0
ANDV,,,,,
ANSS,,,,,
ANTM,,,,,
AON,27.553957,19.821737,9.343743,16.716,74326491136.0
APA,5.839713,8.876364,1.4554019,2.345,8733568000.0
AIV,,-12.577778,12.805429,18.225,815467520.0
AAPL,37.036243,33.20337,55.283512,28.565,4094760583168.0
AMAT,26.663973,23.829723,8.980632,20.362,183952703488.0
APTV,56.70454,10.7234955,1.7462614,7.167,16299321344.0
ADM,23.841463,11.568048,1.2515204,14.456,28185415680.0
ARNC,,,,,
AJG,39.7136,22.004435,2.7467494,22.109,63741566976.0
AIZ,13.77331,12.612723,1.9702398,8.129,11404791808.0
T,8.345278,11.4375,1.6451552,7.658,181631696896.0
ADSK,60.259876,31.574074,22.740467,37.742,62011826176.0
ADP,24.689043,23.00828,15.887436,16.959,101312888832.0
AZO,26.59522,22.094538,-18.798998,18.078,64185581568.0
AVB,21.974422,32.564983,2.1372302,18.466,25687322624.0
AVY,19.001135,15.930608,5.877876,11.248,12953934848.0
BHGE,,,,,
BLL,,,,,
BAC,14.188524,14.188524,1.3683434,,384642777088.0
BAX,,6.3125,1.2903684,8.344,9345534976.0
BBT,118.952385,6.931187,0.87020135,,2105120512.0
BDX,32.810997,12.139861,2.155621,13.001,54734381056.0
BRK-B,16.234335,25.289343,0.001046439,-2.421,1095516160000.0
BBY,20.831957,11.055555,5.8579288,7.124,15982036992.0
BIIB,16.133213,10.613446,1.4246581,8.38,25939896320.0
BLK,26.248455,20.763544,2.8485332,18.495,158174806016.0
HRB,9.430525,8.054475,-9.499771,7.352,5293731840.0
BA,,381.10638,-16.481413,-27.556,136148303872.0
BWA,60.39437,9.201717,1.531702,5.83,9278926848.0
BXP,,37.7861,2.2386973,15.867,12499510272.0
BSX,52.427807,35.139786,6.2121406,30.831,145338613760.0
BHF,4.6011233,3.287506,0.58851004,,3745857792.0
BMY,16.080807,6.7937407,5.2414393,6.859,97227563008.0
AVGO,97.16195,61.257698,6.3821955,5.641,1784864964608.0
BF-B,15.94972,15.026316,3.3843052,12.965,13510991872.0
CHRW,31.225254,32.471638,9.856205,22.528,18259873792.0
CA,,,,,
COG,,,,,
CDNS,78.67442,44.448177,15.940838,43.781,82965028864.0
CPB,15.228856,8.97654,2.337712,8.573,9121551360.0
COF,71.520546,13.335888,1.2247171,,133556789248.0
CAH,31.855202,24.444443,-17.458874,15.453,50180071424.0
KMX,10.448681,9.450929,0.84857583,21.314,5347070976.0
CCL,12.762886,14.395349,2.723573,8.401,33571641344.0
CAT,28.741653,25.264107,12.676981,21.263,263188250624.0
CBOE,27.395048,27.72331,5.45143,17.856,26632028160.0
CBG,,,,,
CBS,,,,,
CELG,,,,,
CNC,,5.421875,0.89542085,4.412,18761242624.0
CNP,25.13924,22.827587,2.3500178,13.869,25931929600.0
CTL,,,,,
CERN,,,,,
CF,9.390568,12.566344,2.5254464,5.444,12578821120.0
SCHW,21.199062,23.821053,3.7945921,,164313645056.0
CHTR,5.5223303,5.5640025,1.6794473,5.752,27192535040.0
CHK,,,,,
CVX,21.061884,13.564312,1.5882865,9.052,301719650304.0
CMG,27.60177,23.809162,12.835391,19.142,41822203904.0
CB,12.36147,12.529013,1.6233406,11.035,117936578560.0
CHD,26.100945,22.182304,4.7040763,16.512,20156184576.0
CI,12.017264,8.667624,1.7312255,8.571,72516648960.0
XEC,,,,,
CINF,12.394796,22.74352,1.6881001,8.988,26069514240.0
CTAS,40.48,38.92308,15.434672,27.256,73401466880.0
CSCO,29.436293,19.548717,6.405108,20.103,301231439872.0
C,14.001405,13.86509,0.9195731,,183519117312.0
CFG,14.787115,13.640827,0.96030706,,22770913280.0
CTXS,,,,,
CME,26.739086,26.584377,3.5190647,22.387,99410141184.0
CMS,21.412104,20.75419,2.6168423,13.741,22610960384.0
KO,24.036423,24.441076,9.994493,21.258,312403197952.0
CTSH,17.342592,15.014029,2.4290762,9.258,36590620672.0
CL,22.179272,20.512955,74.557434,14.787,63994925056.0
CMCSA,4.3953485,6.0410957,0.9960474,4.909,97695784960.0
CMA,14.898662,14.218978,1.4127715,,10014704640.0
CAG,9.898306,6.513011,0.9399646,8.114,8380721152.0
CXO,,,,,
COP,12.367231,10.90411,1.6665714,4.934,109357391872.0
ED,17.293707,17.601423,1.4775867,10.457,35703750656.0
STZ,19.229986,8.708635,3.082649,9.352,22995951616.0
GLW,52.94872,35.757576,5.7855287,23.238,70817964032.0
COST,48.55452,45.02642,13.467279,30.241,392973910016.0
COTY,,5.080645,0.75557685,8.101,2755045632.0
CCI,,33.216415,-25.938229,17.622,38766338048.0
CSRA,,,,,
CSX,22.33117,16.940887,5.021171,12.731,64112484352.0
CMI,25.187757,21.563942,5.5564833,13.966,67033165824.0
CVS,205.0,12.0216055,1.3565757,11.495,98888785920.0
DHI,12.625757,9.170119,1.7782538,9.701,43549884416.0
DHR,46.7037,27.085918,3.1390717,23.196,162529378304.0
DRI,18.596567,16.412878,9.064854,14.332,20208230400.0
DVA,12.331269,10.602484,-14.830582,8.392,8543534592.0
DE,25.442822,21.976995,5.231888,22.708,131712598016.0
DAL,8.557122,8.64245,2.0907712,7.185,39615250432.0
XRAY,,5.365,1.4482386,6.992,2141192576.0
DVN,8.474057,8.056054,1.4722997,3.905,22808365056.0
DLR,41.1943,131.41321,2.446797,27.713,55606517760.0
DFS,,,,,
DISCA,,,,,
DISCK,,,,,
DISH,,,,,
DG,18.831482,16.348875,2.7936046,12.611,22382583808.0
DLTR,19.428295,16.542904,5.690526,12.783,20921755648.0
D,20.130718,18.224852,1.9702543,13.779,52601057280.0
DOV,23.80234,19.451647,3.2761183,15.081,25104523264.0
DWDP,,,,,
DPS,,,,,
DTE,20.400301,18.8724,2.324354,14.893,28259428352.0
DUK,19.226772,19.257097,1.8813176,11.663,94944657408.0
DRE,,,,,
DXC,6.3217826,3.9171782,0.7256094,2.766,2285813248.0
ETFC,,,,,
EMN,9.804675,6.7505746,1.1603509,6.797,6744107520.0
ETN,33.10922,27.421576,6.8110237,22.741,128636395520.0
EBAY,17.935698,15.496169,7.7823744,14.72,36966727680.0
ECL,38.62069,35.84,11.458776,21.659,76238364672.0
EIX,7.7562256,10.382457,1.468195,8.983,22771699712.0
EW,37.153507,34.57551,4.820189,25.764,49733242880.0
EA,58.444767,23.569756,8.355151,32.598,50283839488.0
EMR,31.91563,20.351265,3.5690105,16.764,72387330048.0
ETR,23.517242,12.335918,2.5592368,12.69,42641072128.0
EVHC,,,,,
EOG,10.584906,9.637431,1.913885,5.309,58197434368.0
EQT,18.742672,22.833334,1.551027,9.121,35908816896.0
EFX,39.700756,22.276302,5.2039423,16.384,25824632832.0
EQIX,69.90993,56.847534,5.2753425,24.003,74682294272.0
EQR,19.917763,35.8284,2.0819006,17.086,23830171648.0
ESS,19.805935,43.230896,2.9764287,19.134,17975070720.0
EL,,34.588886,8.651227,19.719,33654044672.0
RE,,,,,
ES,18.143646,13.740585,1.5370574,11.856,24642422784.0
EXC,16.569893,17.577946,1.6613361,11.842,46691708928.0
EXPE,23.978825,17.349583,22.92629,14.733,30822500352.0
EXPD,23.45691,26.814125,8.477902,16.118,19578755072.0
ESRX,,,,,
EXR,29.161077,27.269875,2.0316715,18.621,28885751808.0
XOM,16.856104,14.735705,1.8769624,8.509,494408761344.0
FFIV,20.011864,15.333767,3.7921953,14.14,13621499904.0
FB,,,,,
FAST,37.34906,18.077625,11.67158,25.444,45450735616.0
FRT,24.654821,31.641695,2.7432153,16.889,8431677952.0
FDX,15.649473,11.735385,2.2688105,,62995390464.0
FIS,201.28127,11.2802105,2.4120886,14.674,33646407680.0
FITB,12.635821,11.59726,1.4469322,,27980630016.0
FE,20.58261,16.380623,2.1367636,12.24,27346685952.0
FISV,9.377125,,1.2969217,,32979795968.0
FLIR,,,,,
FLS,19.991278,21.03058,3.8870676,14.1,8993894400.0
FLR,2.0818183,13.383118,1.2810394,-38.484,6663805440.0
FMC,,2.8283262,0.4362794,11.323,1646446464.0
FL,,,,,
F,11.076923,7.4057145,1.089625,18.889,51639103488.0
FTV,20.653543,12.580336,2.5617735,11.685,17749125120.0
FBHS,,,,,
BEN,24.208792,8.473078,0.95022434,8.148,11476982784.0
FCX,28.524477,18.884258,3.132632,7.871,58571612160.0
GPS,,,,,
GRMN,23.69458,25.790884,4.3658805,17.622,37035835392.0
IT,20.125875,17.455648,30.163763,13.71,17437409280.0
GD,21.928017,21.027985,3.7324488,15.794,91335827456.0
GE,39.364124,56.116413,16.488169,28.337,311822188544.0
GGP,,,,,
GIS,8.8752365,9.989363,2.6407561,10.243,25103501312.0
GM,13.549619,6.717124,0.99803203,11.464,67597524992.0
GPC,21.774527,14.936245,3.6766543,12.214,17598869504.0
GILD,19.39164,16.860027,7.223087,12.152,155435876352.0
GPN,11.047041,5.6875,0.7599006,7.235,17661798400.0
GS,16.051767,19.025745,2.272031,,239364603904.0
GT,,5.77305,0.7750905,8.569,2329349888.0
GWW,26.042006,22.084066,12.437276,15.722,44482076672.0
HAL,17.0,7.8984613,2.120962,6.72,21886296064.0
HBI,5.6068377,11.118645,5.198098,9.38,2320942080.0
HOG,5.714286,5.8679705,0.79370326,8.764,2917268224.0
HRS,,,,,
HIG,11.181669,11.769165,2.1091301,7.891,38419292160.0
HAS,,17.911964,27.399862,13.241,11135742976.0
HCA,19.382591,20.408962,-21.586317,10.779,117240111104.0
HCP,,,,,
HP,,7.492997,0.9762774,5.516,2660195840.0
HSIC,23.488958,14.319231,2.6267328,13.462,9029645312.0
HES,,,,,
HPE,24.811764,10.042858,1.1398152,10.032,27827202048.0
HLT,39.815674,34.334167,-12.962717,27.428,64520699904.0
HOLX,30.024097,15.8389845,3.2961512,12.645,16664395776.0
HD,22.94342,21.57564,27.586262,15.553,335027208192.0
HON,19.921858,17.135332,7.1372905,14.891,127132262400.0
HRL,16.496351,13.372781,1.5377289,11.356,12429965312.0
HST,16.349058,17.865978,1.7891803,10.713,12071669760.0
HPQ,8.865455,6.772222,-25.395834,6.668,22899472384.0
HUM,21.460672,13.610451,1.4883116,4.779,27566587904.0
HBAN,11.1258745,11.873134,1.1897106,,24937185280.0
HII,21.373795,19.765306,2.4401228,13.913,12161704960.0
IDXX,59.504745,62.887962,38.541637,42.416,60174733312.0
INFO,25.844091,,,,
ITW,23.523762,22.666355,21.932539,17.064,70697492480.0
ILMN,28.242151,28.497736,8.094075,17.605,19360051200.0
INCY,18.006779,17.30293,4.479865,13.569,20857323520.0
IR,57.585182,21.960451,3.034348,17.476,30897956864.0
INTC,596.5,36.896908,1.6034946,18.845,170718298112.0
ICE,27.850637,22.68546,3.0426044,17.444,87523491840.0
IBM,36.247913,28.663525,10.18725,18.915,284271673344.0
IP,,12.53,1.1458968,14.633,19848960000.0
IPG,17.609589,9.349091,2.5543964,7.009,9416709120.0
IFF,,14.631235,1.2139155,13.367,17286563840.0
INTU,44.833904,29.385065,9.415656,,182123773952.0
ISRG,75.19576,72.3257,11.91707,57.659,203786715136.0
IVZ,16.197279,12.597883,0.96385056,11.965,10618397696.0
IQV,31.343405,18.904722,6.308368,17.859,38859051008.0
IRM,156.90741,43.22959,-28.385262,19.664,25045299200.0
JBHT,28.882149,23.210306,4.4425783,11.306,16131599360.0
JEC,,,,,
SJM,,9.9021845,1.8772167,10.282,11124061184.0
JNJ,19.927465,19.438679,6.253984,16.405,496435265536.0
JCI,43.41825,27.252983,5.3982887,21.012,74724278272.0
JPM,14.752475,17.801672,2.3848205,,819426623488.0
JNPR,,,,,
KSU,,,,,
K,22.800545,69.541664,6.9081125,15.326,29034977280.0
KEY,22.086418,11.467949,1.131133,,19616667648.0
KMB,17.771574,13.765399,26.16592,10.669,34855092224.0
KIM,24.638556,29.214287,1.3206329,17.115,13848641536.0
KMI,21.983606,21.285715,1.941087,13.643,59668070400.0
KLAC,35.712536,34.635284,29.98892,26.794,149689745408.0
KSS,8.456989,7.865,0.44862103,6.883,1762934656.0
KHC,,8.218241,0.7206924,8.0,29863628800.0
KR,16.317259,14.037118,5.210731,8.52,42603581440.0
LB,64.40909,38.040268,5.279926,19.518,4511110656.0
LLL,,,,,
LH,26.03631,16.561172,2.532019,14.258,22047260672.0
LRCX,33.19647,35.2178,18.576899,27.214,189634052096.0
LEG,5.78882,7.898305,1.2989546,6.811,1262266112.0
LEN,12.162216,7.6183395,1.3893157,8.146,31357325312.0
LUK,,,,,
LLY,52.356163,47.226833,40.29217,34.493,959352209408.0
LNC,3.4986992,5.2253885,0.8093576,,7662141440.0
